"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"89108","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",149,1233.74,0.0102,0.0206,0.0546,22788
2019-10-31,"85308","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Glendale",150,1453.13,0.0157,0.0325,0.0645,24609
2019-10-31,"78577","TX","McAllen-Edinburg-Mission","Hidalgo County","Pharr",151,834.67,0.0064,-0.0037,-0.0254,17553
2019-10-31,"78240","TX","San Antonio-New Braunfels","Bexar County","San Antonio",152,1299.61,0.005,0.0001,-0.0086,14725
2019-10-31,"94533","CA","Vallejo-Fairfield","Solano County","Fairfield",153,2048.85,0.0058,0.025,0.0657,19944
2019-10-31,"87111","NM","Albuquerque","Bernalillo County","Albuquerque",154,1281.38,0.0191,0.0287,0.0327,20224
2019-10-31,"14850","NY","Ithaca","Tompkins County","Town Of Ithaca",155,1524.63,-0.011,-0.0196,-0.0258,13823
2019-10-31,"33024","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Pembroke Pines",156,1616.06,0.0061,0.0081,0.0132,28262
2019-10-31,"98012","WA","Seattle-Tacoma-Bellevue","Snohomish County","Bothell",157,2233.38,0.0016,0.0069,-0.0015,27528
2019-10-31,"48180","MI","Detroit-Warren-Dearborn","Wayne County","Taylor",158,973.61,0.0133,0.0309,0.0156,22037
2019-10-31,"77845","TX","College Station-Bryan","Brazos County","College Station",159,1156.28,-0.0074,-0.033,-0.0042,24372
2019-10-31,"30318","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",160,1661.42,0.0113,0.017,0.0398,22534
2019-10-31,"44060","OH","Cleveland-Elyria","Lake County","Mentor",161,1216.88,0.0183,0.0345,0.0212,25517
2019-10-31,"85364","AZ","Yuma","Yuma County","Yuma",162,921.23,0.0131,0.0203,0.0245,19244
2019-10-31,"95608","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Carmichael",163,1813.18,0.0082,0.0145,0.0339,18592
2019-10-31,"43055","OH","Columbus","Licking County","Newark",164,969.5,0.0091,0.0491,0.1202,21965
2019-10-31,"11385","NY","New York-Newark-Jersey City","Queens County","New York",165,2162.43,-0.0076,-0.0092,-0.0023,20261
2019-10-31,"33647","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",166,1380.78,-0.0027,-0.0009,-0.0225,24974
2019-10-31,"92677","CA","Los Angeles-Long Beach-Anaheim","Orange County","Laguna Niguel",167,2921.77,-0.002,0.0003,0.0085,27257
2019-10-31,"44256","OH","Cleveland-Elyria","Medina County","Medina",168,1335.36,-0.0085,0.0011,0.0434,24180
2019-10-31,"02148","MA","Boston-Cambridge-Newton","Middlesex County","Malden",169,2290.97,-0.0288,-0.0085,-0.0023,15074
2019-10-31,"15601","PA","Pittsburgh","Westmoreland County","Greensburg",170,877.78,-0.0019,0.0127,-0.0216,9072
2019-10-31,"80013","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",171,1610.17,0.0056,0.0132,0.01,26789
2019-10-31,"90066","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",172,3516.07,0.0168,0.0285,0.0212,13513
2019-10-31,"20906","MD","Washington-Arlington-Alexandria","Montgomery County","Silver Spring",173,1907.85,0.0173,0.0346,0.0599,25905
2019-10-31,"47906","IN","Lafayette-West Lafayette","Tippecanoe County","West Lafayette",174,1260.31,0.0388,0.0675,0.0309,14447
2019-10-31,"65807","MO","Springfield","Greene County","Springfield",175,766.8,0.0173,0.0355,0.0162,17108
2019-10-31,"06902","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",176,2199.33,0.0027,0.0108,-0.008,33419
2019-10-31,"45011","OH","Cincinnati","Butler County","Hamilton",177,969.52,0.0096,0.0234,-0.0088,23191
2019-10-31,"30188","GA","Atlanta-Sandy Springs-Roswell","Cherokee County","Woodstock",178,1497.04,0.0094,0.0153,0.0279,26630
2019-10-31,"92336","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Fontana",179,2030.29,0.005,0.0169,0.0334,28270
2019-10-31,"99301","WA","Kennewick-Richland","Franklin County","Pasco",180,1314.76,0.064,0.1029,-0.0442,20637
2019-10-31,"10468","NY","New York-Newark-Jersey City","Bronx County","New York",181,1754.39,0.0032,0.0195,0.0468,4756
2019-10-31,"11373","NY","New York-Newark-Jersey City","Queens County","New York",182,2119.89,0.0105,0.0094,-0.017,19281
2019-10-31,"65203","MO","Columbia","Boone County","Columbia",183,1034.3,0.0245,0.0246,0.0479,21956
2019-10-31,"28078","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Huntersville",184,1375.21,-0.0011,0.0137,0.0392,24876
2019-10-31,"60620","IL","Chicago-Naperville-Elgin","Cook County","Chicago",185,1244.63,0.0117,0.0134,-0.0017,16664
2019-10-31,"46307","IN","Chicago-Naperville-Elgin","Lake County","Crown Point",186,1281.22,-0.0002,0.0036,0.0407,25865
2019-10-31,"95823","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",187,1640.18,0.0126,0.0293,0.0407,17929
2019-10-31,"92345","CA","Riverside-San Bernardino-Ontario","San Bernardino County","Hesperia",188,1401.5,0.0118,0.0244,0.0495,25926
2019-10-31,"27610","NC","Raleigh","Wake County","Raleigh",189,1194.73,0.011,0.0157,0.0205,22093
2019-10-31,"34135","FL","Cape Coral-Fort Myers","Lee County","Bonita Springs",190,1909.39,0.0042,-0.0152,0.0403,27583
2019-10-31,"87120","NM","Albuquerque","Bernalillo County","Albuquerque",191,1189.12,0.0161,0.0248,0.0189,23748
2019-10-31,"27410","NC","Greensboro-High Point","Guilford County","Greensboro",192,1055.69,0.0221,0.0387,0.0133,19655
2019-10-31,"75035","TX","Dallas-Fort Worth-Arlington","Collin County","Frisco",193,1867.98,-0.0155,-0.0074,-0.0012,26926
